Lon;Lat;PIC flux;Duration term;Duration;Year;Month;Season;Regions;Num_region;Depth m;Depth;Depth_2;POC flux;Rain ratio;Ref;index;Region_13_names
138,92;81,0716;0,087600009;Short_term;18;1995;June;Summer;Arctic (Ar);1;-150;Shallow;100-500m;0,48;0.182500019;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,264000026;Long_term;336;1995;August;Summer;Arctic (Ar);1;-150;Shallow;100-500m;4,1;0.06439025;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic annual particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586842, ";436;Arctic_Ar
138,92;81,0716;0,538800054;Short_term;15;1995;September;Autumn;Arctic (Ar);1;-150;Shallow;100-500m;5,47;0.098500924;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,069600007;Short_term;15;1995;October;Autumn;Arctic (Ar);1;-150;Shallow;100-500m;1,41;0.049361707;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,121200012;Short_term;15;1995;October;Autumn;Arctic (Ar);1;-150;Shallow;100-500m;0,37;0.3275676;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,057600006;Short_term;15;1995;November;Autumn;Arctic (Ar);1;-150;Shallow;100-500m;0,95;0.060631585;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,045600005;Short_term;15;1995;November;Autumn;Arctic (Ar);1;-150;Shallow;100-500m;0,52;0.087692317;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,060000006;Short_term;15;1995;December;Autumn;Arctic (Ar);1;-150;Shallow;100-500m;0,33;0.1818182;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,082800008;Short_term;31;1996;January;Winter;Arctic (Ar);1;-150;Shallow;100-500m;0,68;0.121764718;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,037200004;Short_term;29;1996;Febuary;Winter;Arctic (Ar);1;-150;Shallow;100-500m;0,89;0.041797757;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,171600017;Short_term;15;1996;March;Winter;Arctic (Ar);1;-150;Shallow;100-500m;2,64;0.065000006;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,10080001;Short_term;16;1996;March;Spring;Arctic (Ar);1;-150;Shallow;100-500m;1,8;0.056000006;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,061200006;Short_term;15;1996;April;Spring;Arctic (Ar);1;-150;Shallow;100-500m;1,45;0.042206901;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,556800056;Short_term;15;1996;April;Spring;Arctic (Ar);1;-150;Shallow;100-500m;3,67;0.151716637;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,853200085;Short_term;14;1996;May;Spring;Arctic (Ar);1;-150;Shallow;100-500m;2,58;0.330697707;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,318000032;Short_term;17;1996;May;Spring;Arctic (Ar);1;-150;Shallow;100-500m;1,87;0.170053493;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,20280002;Short_term;15;1996;June;Spring;Arctic (Ar);1;-150;Shallow;100-500m;1,12;0.181071446;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,261600026;Short_term;15;1996;June;Summer;Arctic (Ar);1;-150;Shallow;100-500m;4,03;0.064913158;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,282000028;Short_term;15;1996;July;Summer;Arctic (Ar);1;-150;Shallow;100-500m;3,14;0.089808926;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,519600052;Short_term;16;1996;July;Summer;Arctic (Ar);1;-150;Shallow;100-500m;15,03;0.034570862;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
138,92;81,0716;0,572400057;Short_term;15;1996;August;Summer;Arctic (Ar);1;-150;Shallow;100-500m;21;0.027257146;"Fahl, K; Nöthig, E-M (2007): Lithogenic and biogenic particle fluxes on the Lomonosov Ridge of trap LOMO-2. doi:10.1594/PANGAEA.586835, ";436;Arctic_Ar
